yearID,salary,name
2014,4978059000,"Atlanta Braves"
2015,3660843750,"Atlanta Braves"
2016,3493412841,"Atlanta Braves"
1985,728324856,"Baltimore Orioles"
1986,819079254,"Baltimore Orioles"
1987,875717199,"Baltimore Orioles"
1988,852520725,"Baltimore Orioles"
1989,521335521,"Baltimore Orioles"
1990,609845292,"Baltimore Orioles"
1991,1103697000,"Baltimore Orioles"
1992,1498182021,"Baltimore Orioles"
1993,1833079500,"Baltimore Orioles"
1994,2447535447,"Baltimore Orioles"
1995,2768378823,"Baltimore Orioles"
1996,3432889845,"Baltimore Orioles"
1997,3686533200,"Baltimore Orioles"
1998,4558404942,"Baltimore Orioles"
1999,5078169369,"Baltimore Orioles"
2000,5131188405,"Baltimore Orioles"
2001,4258771020,"Baltimore Orioles"
2002,3811089681,"Baltimore Orioles"
2003,4654282500,"Baltimore Orioles"
2004,3252269979,"Baltimore Orioles"
2005,4656602979,"Baltimore Orioles"
2006,4572891666,"Baltimore Orioles"
2007,5870012904,"Baltimore Orioles"
2008,4233363498,"Baltimore Orioles"
2009,4227404958,"Baltimore Orioles"
2010,5141587500,"Baltimore Orioles"
2011,5374154394,"Baltimore Orioles"
2012,4873301937,"Baltimore Orioles"
2013,5316779979,"Baltimore Orioles"
2014,6515208000,"Baltimore Orioles"
2015,7247824479,"Baltimore Orioles"
2016,10197397728,"Baltimore Orioles"
1985,76282920,"Boston Americans"
1986,100815673,"Boston Americans"
1987,71009169,"Boston Americans"
1988,97272644,"Boston Americans"
1989,122372236,"Boston Americans"
1990,143908331,"Boston Americans"
1991,246172500,"Boston Americans"
1992,305274088,"Boston Americans"
1993,259844081,"Boston Americans"
1994,265013588,"Boston Americans"
1995,227188626,"Boston Americans"
1996,296754500,"Boston Americans"
1997,304911250,"Boston Americans"
1998,397299000,"Boston Americans"
1999,444482500,"Boston Americans"
2000,545582331,"Boston Americans"
2001,770250831,"Boston Americans"
2002,758562420,"Boston Americans"
2003,699625500,"Boston Americans"
2004,891089500,"Boston Americans"
2005,864535875,"Boston Americans"
2006,840698768,"Boston Americans"
2007,1001183498,"Boston Americans"
2008,933730245,"Boston Americans"
2009,849421993,"Boston Americans"
2010,1137131331,"Boston Americans"
2011,1132337325,"Boston Americans"
2012,1212306319,"Boston Americans"
2013,1060710000,"Boston Americans"
2014,973139503,"Boston Americans"
2015,1267723800,"Boston Americans"
2016,1319820327,"Boston Americans"
1985,1187834040,"Boston Red Sox"
1986,1569844051,"Boston Red Sox"
1987,1105714203,"Boston Red Sox"
1988,1514674028,"Boston Red Sox"
1989,1905510532,"Boston Red Sox"
1990,2240858297,"Boston Red Sox"
1991,3833257500,"Boston Red Sox"
1992,4753553656,"Boston Red Sox"
1993,4046143547,"Boston Red Sox"
1994,4126640156,"Boston Red Sox"
1995,3537651462,"Boston Red Sox"
1996,4620891500,"Boston Red Sox"
1997,4747903750,"Boston Red Sox"
1998,6186513000,"Boston Red Sox"
1999,6921227500,"Boston Red Sox"
2000,8495496297,"Boston Red Sox"
2001,11993905797,"Boston Red Sox"
2002,11811900540,"Boston Red Sox"
2003,10894168500,"Boston Red Sox"
2004,13875536500,"Boston Red Sox"
2005,13462058625,"Boston Red Sox"
2006,13090880816,"Boston Red Sox"
2007,15589857326,"Boston Red Sox"
2008,14539513815,"Boston Red Sox"
2009,13226713891,"Boston Red Sox"
2010,17706759297,"Boston Red Sox"
2011,17632109775,"Boston Red Sox"
2012,18877341253,"Boston Red Sox"
2013,16516770000,"Boston Red Sox"
2014,15153172261,"Boston Red Sox"
2015,19740270600,"Boston Red Sox"
2016,20551487949,"Boston Red Sox"
1985,461692608,"California Angels"
1986,461672256,"California Angels"
1987,410991968,"California Angels"
1988,382316416,"California Angels"
1989,483130656,"California Angels"
1990,695040000,"California Angels"
1991,1057920032,"California Angels"
1992,1111978688,"California Angels"
1993,914826688,"California Angels"
1994,804998976,"California Angels"
1995,999141472,"California Angels"
1996,919616000,"California Angels"
1985,101623336,"Chicago Colts"
1986,137665320,"Chicago Colts"
1987,114463992,"Chicago Colts"
1988,104953584,"Chicago Colts"
1989,85344000,"Chicago Colts"
1990,108992000,"Chicago Colts"
1991,185405336,"Chicago Colts"
1992,238637488,"Chicago Colts"
1993,315093328,"Chicago Colts"
1994,290298664,"Chicago Colts"
1995,236046672,"Chicago Colts"
1996,264648000,"Chicago Colts"
1997,337242664,"Chicago Colts"
1998,406704000,"Chicago Colts"
1999,498744000,"Chicago Colts"
2000,484314664,"Chicago Colts"
2001,517726664,"Chicago Colts"
2002,605526664,"Chicago Colts"
2003,638946664,"Chicago Colts"
2004,724480000,"Chicago Colts"
2005,696263464,"Chicago Colts"
2006,755395992,"Chicago Colts"
2007,797362656,"Chicago Colts"
2008,946766664,"Chicago Colts"
2009,1078472000,"Chicago Colts"
2010,1172872000,"Chicago Colts"
2011,1000378632,"Chicago Colts"
2012,705576264,"Chicago Colts"
2013,804541808,"Chicago Colts"
2014,524180000,"Chicago Colts"
2015,927034480,"Chicago Colts"
1985,1448132538,"Chicago Cubs"
1986,1961730810,"Chicago Cubs"
1987,1631111886,"Chicago Cubs"
1988,1495588572,"Chicago Cubs"
1989,1216152000,"Chicago Cubs"
1990,1553136000,"Chicago Cubs"
1991,2642026038,"Chicago Cubs"
1992,3400584204,"Chicago Cubs"
1993,4490079924,"Chicago Cubs"
1994,4136755962,"Chicago Cubs"
1995,3363665076,"Chicago Cubs"
1996,3771234000,"Chicago Cubs"
1997,4805707962,"Chicago Cubs"
1998,5795532000,"Chicago Cubs"
1999,7107102000,"Chicago Cubs"
2000,6901483962,"Chicago Cubs"
2001,7377604962,"Chicago Cubs"
2002,8628754962,"Chicago Cubs"
2003,9104989962,"Chicago Cubs"
2004,10323840000,"Chicago Cubs"
2005,9921754362,"Chicago Cubs"
2006,10764392886,"Chicago Cubs"
2007,11362417848,"Chicago Cubs"
2008,13491424962,"Chicago Cubs"
2009,15368226000,"Chicago Cubs"
2010,16713426000,"Chicago Cubs"
2011,14255395506,"Chicago Cubs"
2012,10054461762,"Chicago Cubs"
2013,11464720764,"Chicago Cubs"
2014,7469565000,"Chicago Cubs"
2015,13210241340,"Chicago Cubs"
1985,63514585,"Chicago Orphans"
1986,86040825,"Chicago Orphans"
1987,71539995,"Chicago Orphans"
1988,65595990,"Chicago Orphans"
1989,53340000,"Chicago Orphans"
1990,68120000,"Chicago Orphans"
1991,115878335,"Chicago Orphans"
1992,149148430,"Chicago Orphans"
1993,196933330,"Chicago Orphans"
1994,181436665,"Chicago Orphans"
1995,147529170,"Chicago Orphans"
1996,165405000,"Chicago Orphans"
1997,210776665,"Chicago Orphans"
1998,254190000,"Chicago Orphans"
1999,311715000,"Chicago Orphans"
2000,302696665,"Chicago Orphans"
2001,323579165,"Chicago Orphans"
2002,378454165,"Chicago Orphans"
2003,399341665,"Chicago Orphans"
2004,452800000,"Chicago Orphans"
2005,435164665,"Chicago Orphans"
2006,472122495,"Chicago Orphans"
2007,498351660,"Chicago Orphans"
2008,591729165,"Chicago Orphans"
2009,674045000,"Chicago Orphans"
2010,733045000,"Chicago Orphans"
2011,625236645,"Chicago Orphans"
2012,440985165,"Chicago Orphans"
2013,502838630,"Chicago Orphans"
2014,327612500,"Chicago Orphans"
2015,579396550,"Chicago Orphans"
1985,1142156648,"Chicago White Sox"
1986,1208583004,"Chicago White Sox"
1987,1234453788,"Chicago White Sox"
1988,741240000,"Chicago White Sox"
1989,842787560,"Chicago White Sox"
1990,1101014000,"Chicago White Sox"
1991,1962681372,"Chicago White Sox"
1992,3498656628,"Chicago White Sox"
1993,4604755256,"Chicago White Sox"
1994,4545324976,"Chicago White Sox"
1995,5447508712,"Chicago White Sox"
1996,5236182000,"Chicago White Sox"
1997,6697840000,"Chicago White Sox"
1998,4446860000,"Chicago White Sox"
1999,2971920000,"Chicago White Sox"
2000,3611486000,"Chicago White Sox"
2001,7615825372,"Chicago White Sox"
2002,6618128628,"Chicago White Sox"
2003,5917160000,"Chicago White Sox"
2004,7564650000,"Chicago White Sox"
2005,8720648000,"Chicago White Sox"
2006,11919077372,"Chicago White Sox"
2007,12605932628,"Chicago White Sox"
2008,14057962512,"Chicago White Sox"
2009,11143946000,"Chicago White Sox"
2010,12241480000,"Chicago White Sox"
2011,14823524000,"Chicago White Sox"
2012,11242662000,"Chicago White Sox"
2013,13927572132,"Chicago White Sox"
2014,9492338000,"Chicago White Sox"
2015,13035349200,"Chicago White Sox"
1985,177840838,"Chicago White Stockings"
1986,240914310,"Chicago White Stockings"
1987,200311986,"Chicago White Stockings"
1988,183668772,"Chicago White Stockings"
1989,149352000,"Chicago White Stockings"
1990,190736000,"Chicago White Stockings"
1991,324459338,"Chicago White Stockings"
1992,417615604,"Chicago White Stockings"
1993,551413324,"Chicago White Stockings"
1994,508022662,"Chicago White Stockings"
1995,413081676,"Chicago White Stockings"
1996,463134000,"Chicago White Stockings"
1997,590174662,"Chicago White Stockings"
1998,711732000,"Chicago White Stockings"
1999,872802000,"Chicago White Stockings"
2000,847550662,"Chicago White Stockings"
2001,906021662,"Chicago White Stockings"
2002,1059671662,"Chicago White Stockings"
2003,1118156662,"Chicago White Stockings"
2004,1267840000,"Chicago White Stockings"
2005,1218461062,"Chicago White Stockings"
2006,1321942986,"Chicago White Stockings"
2007,1395384648,"Chicago White Stockings"
2008,1656841662,"Chicago White Stockings"
2009,1887326000,"Chicago White Stockings"
2010,2052526000,"Chicago White Stockings"
2011,1750662606,"Chicago White Stockings"
2012,1234758462,"Chicago White Stockings"
2013,1407948164,"Chicago White Stockings"
2014,917315000,"Chicago White Stockings"
2015,1622310340,"Chicago White Stockings"
1985,50159502,"Cincinnati Redlegs"
1986,71438328,"Cincinnati Redlegs"
1987,55689000,"Cincinnati Redlegs"
1988,53330454,"Cincinnati Redlegs"
1989,66432000,"Cincinnati Redlegs"
1990,86220000,"Cincinnati Redlegs"
1991,157831998,"Cincinnati Redlegs"
1992,215588994,"Cincinnati Redlegs"
1993,269277996,"Cincinnati Redlegs"
1994,245770998,"Cincinnati Redlegs"
1995,258868020,"Cincinnati Redlegs"
1996,255158004,"Cincinnati Redlegs"
1997,298608000,"Cincinnati Redlegs"
1998,138030000,"Cincinnati Redlegs"
1999,203776566,"Cincinnati Redlegs"
2000,281203200,"Cincinnati Redlegs"
2001,293916000,"Cincinnati Redlegs"
2002,270302340,"Cincinnati Redlegs"
2003,356134002,"Cincinnati Redlegs"
2004,279691500,"Cincinnati Redlegs"
2005,371355498,"Cincinnati Redlegs"
2006,365457114,"Cincinnati Redlegs"
2007,411149880,"Cincinnati Redlegs"
2008,444706170,"Cincinnati Redlegs"
2009,441351000,"Cincinnati Redlegs"
2010,430569252,"Cincinnati Redlegs"
2011,455682804,"Cincinnati Redlegs"
2012,493221696,"Cincinnati Redlegs"
2013,638426772,"Cincinnati Redlegs"
2014,649305000,"Cincinnati Redlegs"
2015,678433716,"Cincinnati Redlegs"
2016,533640354,"Cincinnati Redlegs"
1985,1011549957,"Cincinnati Reds"
1986,1440672948,"Cincinnati Reds"
1987,1123061500,"Cincinnati Reds"
1988,1075497489,"Cincinnati Reds"
1989,1339712000,"Cincinnati Reds"
1990,1738770000,"Cincinnati Reds"
1991,3182945293,"Cincinnati Reds"
1992,4347711379,"Cincinnati Reds"
1993,5430439586,"Cincinnati Reds"
1994,4956381793,"Cincinnati Reds"
1995,5220505070,"Cincinnati Reds"
1996,5145686414,"Cincinnati Reds"
1997,6021928000,"Cincinnati Reds"
1998,2783605000,"Cincinnati Reds"
1999,4109494081,"Cincinnati Reds"
2000,5670931200,"Cincinnati Reds"
2001,5927306000,"Cincinnati Reds"
2002,5451097190,"Cincinnati Reds"
2003,7182035707,"Cincinnati Reds"
2004,5640445250,"Cincinnati Reds"
2005,7489002543,"Cincinnati Reds"
2006,7370051799,"Cincinnati Reds"
2007,8291522580,"Cincinnati Reds"
2008,8968241095,"Cincinnati Reds"
2009,8900578500,"Cincinnati Reds"
2010,8683146582,"Cincinnati Reds"
2011,9189603214,"Cincinnati Reds"
2012,9946637536,"Cincinnati Reds"
2013,12874939902,"Cincinnati Reds"
2014,13094317500,"Cincinnati Reds"
2015,13681746606,"Cincinnati Reds"
2016,10761747139,"Cincinnati Reds"
1985,6551666,"Cleveland Blues"
1986,7809500,"Cleveland Blues"
1987,8513750,"Cleveland Blues"
1988,8936500,"Cleveland Blues"
1989,9094500,"Cleveland Blues"
1990,14487000,"Cleveland Blues"
1991,17635000,"Cleveland Blues"
1992,9373044,"Cleveland Blues"
1993,18561000,"Cleveland Blues"
1994,30490500,"Cleveland Blues"
1995,37937835,"Cleveland Blues"
1996,48107360,"Cleveland Blues"
1997,56802460,"Cleveland Blues"
1998,60800166,"Cleveland Blues"
1999,72978462,"Cleveland Blues"
2000,75880771,"Cleveland Blues"
2001,93152001,"Cleveland Blues"
2002,78909449,"Cleveland Blues"
2003,48584834,"Cleveland Blues"
2004,34319300,"Cleveland Blues"
2005,41502500,"Cleveland Blues"
2006,56031500,"Cleveland Blues"
2007,61673267,"Cleveland Blues"
2008,78970066,"Cleveland Blues"
2009,81579166,"Cleveland Blues"
2010,61203966,"Cleveland Blues"
2011,48776566,"Cleveland Blues"
2012,78430300,"Cleveland Blues"
2013,75771800,"Cleveland Blues"
2014,82151899,"Cleveland Blues"
2015,87663766,"Cleveland Blues"
2016,74311900,"Cleveland Blues"
1985,6551666,"Cleveland Bronchos"
1986,7809500,"Cleveland Bronchos"
1987,8513750,"Cleveland Bronchos"
1988,8936500,"Cleveland Bronchos"
1989,9094500,"Cleveland Bronchos"
1990,14487000,"Cleveland Bronchos"
1991,17635000,"Cleveland Bronchos"
1992,9373044,"Cleveland Bronchos"
1993,18561000,"Cleveland Bronchos"
1994,30490500,"Cleveland Bronchos"
1995,37937835,"Cleveland Bronchos"
1996,48107360,"Cleveland Bronchos"
1997,56802460,"Cleveland Bronchos"
1998,60800166,"Cleveland Bronchos"
1999,72978462,"Cleveland Bronchos"
2000,75880771,"Cleveland Bronchos"
2001,93152001,"Cleveland Bronchos"
2002,78909449,"Cleveland Bronchos"
2003,48584834,"Cleveland Bronchos"
2004,34319300,"Cleveland Bronchos"
2005,41502500,"Cleveland Bronchos"
2006,56031500,"Cleveland Bronchos"
2007,61673267,"Cleveland Bronchos"
2008,78970066,"Cleveland Bronchos"
2009,81579166,"Cleveland Bronchos"
2010,61203966,"Cleveland Bronchos"
2011,48776566,"Cleveland Bronchos"
2012,78430300,"Cleveland Bronchos"
2013,75771800,"Cleveland Bronchos"
2014,82151899,"Cleveland Bronchos"
2015,87663766,"Cleveland Bronchos"
2016,74311900,"Cleveland Bronchos"
1985,668269932,"Cleveland Indians"
1986,796569000,"Cleveland Indians"
1987,868402500,"Cleveland Indians"
1988,911523000,"Cleveland Indians"
1989,927639000,"Cleveland Indians"
1990,1477674000,"Cleveland Indians"
1991,1798770000,"Cleveland Indians"
1992,956050488,"Cleveland Indians"
1993,1893222000,"Cleveland Indians"
1994,3110031000,"Cleveland Indians"
1995,3869659170,"Cleveland Indians"
1996,4906950720,"Cleveland Indians"
1997,5793850920,"Cleveland Indians"
1998,6201616932,"Cleveland Indians"
1999,7443803124,"Cleveland Indians"
2000,7739838642,"Cleveland Indians"
2001,9501504102,"Cleveland Indians"
2002,8048763798,"Cleveland Indians"
2003,4955653068,"Cleveland Indians"
2004,3500568600,"Cleveland Indians"
2005,4233255000,"Cleveland Indians"
2006,5715213000,"Cleveland Indians"
2007,6290673234,"Cleveland Indians"
2008,8054946732,"Cleveland Indians"
2009,8321074932,"Cleveland Indians"
2010,6242804532,"Cleveland Indians"
2011,4975209732,"Cleveland Indians"
2012,7999890600,"Cleveland Indians"
2013,7728723600,"Cleveland Indians"
2014,8379493698,"Cleveland Indians"
2015,8941704132,"Cleveland Indians"
2016,7579813800,"Cleveland Indians"
1985,78619992,"Cleveland Naps"
1986,93714000,"Cleveland Naps"
1987,102165000,"Cleveland Naps"
1988,107238000,"Cleveland Naps"
1989,109134000,"Cleveland Naps"
1990,173844000,"Cleveland Naps"
1991,211620000,"Cleveland Naps"
1992,112476528,"Cleveland Naps"
1993,222732000,"Cleveland Naps"
1994,365886000,"Cleveland Naps"
1995,455254020,"Cleveland Naps"
1996,577288320,"Cleveland Naps"
1997,681629520,"Cleveland Naps"
1998,729601992,"Cleveland Naps"
1999,875741544,"Cleveland Naps"
2000,910569252,"Cleveland Naps"
2001,1117824012,"Cleveland Naps"
2002,946913388,"Cleveland Naps"
2003,583018008,"Cleveland Naps"
2004,411831600,"Cleveland Naps"
2005,498030000,"Cleveland Naps"
2006,672378000,"Cleveland Naps"
2007,740079204,"Cleveland Naps"
2008,947640792,"Cleveland Naps"
2009,978949992,"Cleveland Naps"
2010,734447592,"Cleveland Naps"
2011,585318792,"Cleveland Naps"
2012,941163600,"Cleveland Naps"
2013,909261600,"Cleveland Naps"
2014,985822788,"Cleveland Naps"
2015,1051965192,"Cleveland Naps"
2016,891742800,"Cleveland Naps"
1993,248484000,"Colorado Rockies"
1994,573295992,"Colorado Rockies"
1995,819713208,"Colorado Rockies"
1996,964315752,"Colorado Rockies"
1997,1045432008,"Colorado Rockies"
1998,1211631552,"Colorado Rockies"
1999,1486460088,"Colorado Rockies"
2000,1466668560,"Colorado Rockies"
2001,1716992016,"Colorado Rockies"
2002,1364425032,"Colorado Rockies"
2003,1612312008,"Colorado Rockies"
2004,1570684008,"Colorado Rockies"
2005,1148136000,"Colorado Rockies"
2006,989592000,"Colorado Rockies"
2007,1296984000,"Colorado Rockies"
2008,1647732000,"Colorado Rockies"
2009,1804824000,"Colorado Rockies"
2010,2021448000,"Colorado Rockies"
2011,2115553704,"Colorado Rockies"
2012,1873669704,"Colorado Rockies"
2013,1785817704,"Colorado Rockies"
2014,2289684000,"Colorado Rockies"
2015,2296526400,"Colorado Rockies"
2016,2703481704,"Colorado Rockies"
1985,1200384588,"Detroit Tigers"
1986,1430942824,"Detroit Tigers"
1987,1406254196,"Detroit Tigers"
1988,1492870236,"Detroit Tigers"
1989,1756982864,"Detroit Tigers"
1990,2040815608,"Detroit Tigers"
1991,2765246628,"Detroit Tigers"
1992,3169448744,"Detroit Tigers"
1993,4425419140,"Detroit Tigers"
1994,4807794116,"Detroit Tigers"
1995,4297123488,"Detroit Tigers"
1996,2718808000,"Detroit Tigers"
1997,2003552000,"Detroit Tigers"
1998,2791540000,"Detroit Tigers"
1999,4232801256,"Detroit Tigers"
2000,6758759372,"Detroit Tigers"
2001,6196275372,"Detroit Tigers"
2002,6385568000,"Detroit Tigers"
2003,5703488000,"Detroit Tigers"
2004,5432512000,"Detroit Tigers"
2005,8014672000,"Detroit Tigers"
2006,9583092456,"Detroit Tigers"
2007,10996842804,"Detroit Tigers"
2008,15971482736,"Detroit Tigers"
2009,13349876820,"Detroit Tigers"
2010,14252331648,"Detroit Tigers"
2011,12261226796,"Detroit Tigers"
2012,15346800000,"Detroit Tigers"
2013,16934782000,"Detroit Tigers"
2014,17731238000,"Detroit Tigers"
2015,19985031000,"Detroit Tigers"
2016,22605671796,"Detroit Tigers"
1993,367280355,"Florida Marlins"
1994,411027000,"Florida Marlins"
1995,465799839,"Florida Marlins"
1996,589427500,"Florida Marlins"
1997,925157500,"Florida Marlins"
1998,785130673,"Florida Marlins"
1999,400615000,"Florida Marlins"
2000,377568000,"Florida Marlins"
2001,679487500,"Florida Marlins"
2002,797618423,"Florida Marlins"
2003,939550000,"Florida Marlins"
2004,800717798,"Florida Marlins"
2005,1147767846,"Florida Marlins"
2006,278758500,"Florida Marlins"
2007,579633000,"Florida Marlins"
2008,414418500,"Florida Marlins"
2009,699846000,"Florida Marlins"
2010,1083564661,"Florida Marlins"
2011,1081936000,"Florida Marlins"
1985,519638652,"Houston Astros"
1986,513410352,"Houston Astros"
1987,655635292,"Houston Astros"
1988,638880684,"Houston Astros"
1989,781534000,"Houston Astros"
1990,953160000,"Houston Astros"
1991,668330000,"Houston Astros"
1992,801190000,"Houston Astros"
1993,1570946000,"Houston Astros"
1994,1722552000,"Houston Astros"
1995,1776831368,"Houston Astros"
1996,1481324000,"Houston Astros"
1997,1808430000,"Houston Astros"
1998,2203448000,"Houston Astros"
1999,2855528000,"Houston Astros"
2000,2667033772,"Houston Astros"
2001,3151858684,"Houston Astros"
2002,3299317684,"Houston Astros"
2003,3694080000,"Houston Astros"
2004,3920644000,"Houston Astros"
2005,3992508000,"Houston Astros"
2006,4612110620,"Houston Astros"
2007,4563468000,"Houston Astros"
2008,4624381528,"Houston Astros"
2009,5355813528,"Houston Astros"
2010,4802486000,"Houston Astros"
2011,3676088000,"Houston Astros"
2012,3153852000,"Houston Astros"
2013,930316400,"Houston Astros"
2014,1826047600,"Houston Astros"
2015,3757322400,"Houston Astros"
2016,4934472400,"Houston Astros"
1985,29979153,"Houston Colt .45's"
1986,29619828,"Houston Colt .45's"
1987,37825113,"Houston Colt .45's"
1988,36858501,"Houston Colt .45's"
1989,45088500,"Houston Colt .45's"
1990,54990000,"Houston Colt .45's"
1991,38557500,"Houston Colt .45's"
1992,46222500,"Houston Colt .45's"
1993,90631500,"Houston Colt .45's"
1994,99378000,"Houston Colt .45's"
1995,102509502,"Houston Colt .45's"
1996,85461000,"Houston Colt .45's"
1997,104332500,"Houston Colt .45's"
1998,127122000,"Houston Colt .45's"
1999,164742000,"Houston Colt .45's"
2000,153867333,"Houston Colt .45's"
2001,181838001,"Houston Colt .45's"
2002,190345251,"Houston Colt .45's"
2003,213120000,"Houston Colt .45's"
2004,226191000,"Houston Colt .45's"
2005,230337000,"Houston Colt .45's"
2006,266083305,"Houston Colt .45's"
2007,263277000,"Houston Colt .45's"
2008,266791242,"Houston Colt .45's"
2009,308989242,"Houston Colt .45's"
2010,277066500,"Houston Colt .45's"
2011,212082000,"Houston Colt .45's"
2012,181953000,"Houston Colt .45's"
2013,53672100,"Houston Colt .45's"
2014,105348900,"Houston Colt .45's"
2015,216768600,"Houston Colt .45's"
2016,284681100,"Houston Colt .45's"
1985,447416592,"Kansas City Royals"
1986,626097504,"Kansas City Royals"
1987,567746688,"Kansas City Royals"
1988,698714976,"Kansas City Royals"
1989,896811264,"Kansas City Royals"
1990,1121332032,"Kansas City Royals"
1991,1263352032,"Kansas City Royals"
1992,1626904032,"Kansas City Royals"
1993,1984616016,"Kansas City Royals"
1994,1945984032,"Kansas City Royals"
1995,1417576032,"Kansas City Royals"
1996,973500000,"Kansas City Royals"
1997,1663440000,"Kansas City Royals"
1998,1769400000,"Kansas City Royals"
1999,1258800000,"Kansas City Royals"
2000,1124784000,"Kansas City Royals"
2001,1700280000,"Kansas City Royals"
2002,2268336000,"Kansas City Royals"
2003,1944864000,"Kansas City Royals"
2004,2285232000,"Kansas City Royals"
2005,1770288000,"Kansas City Royals"
2006,2270112000,"Kansas City Royals"
2007,3221592000,"Kansas City Royals"
2008,2795784000,"Kansas City Royals"
2009,3384927984,"Kansas City Royals"
2010,3427450080,"Kansas City Royals"
2011,1714176000,"Kansas City Royals"
2012,2923978800,"Kansas City Royals"
2013,3844402800,"Kansas City Royals"
2014,3580515600,"Kansas City Royals"
2015,5381137200,"Kansas City Royals"
2005,379471288,"Los Angeles Angels"
2006,413888000,"Los Angeles Angels"
2007,437005332,"Los Angeles Angels"
2008,476865332,"Los Angeles Angels"
2009,454836000,"Los Angeles Angels"
2010,419855464,"Los Angeles Angels"
2011,554172664,"Los Angeles Angels"
2012,617940664,"Los Angeles Angels"
2013,496699000,"Los Angeles Angels"
2014,487953000,"Los Angeles Angels"
2015,480021660,"Los Angeles Angels"
2016,549005332,"Los Angeles Angels"
2005,1138413864,"Los Angeles Angels of Anaheim"
2006,1241664000,"Los Angeles Angels of Anaheim"
2007,1311015996,"Los Angeles Angels of Anaheim"
2008,1430595996,"Los Angeles Angels of Anaheim"
2009,1364508000,"Los Angeles Angels of Anaheim"
2010,1259566392,"Los Angeles Angels of Anaheim"
2011,1662517992,"Los Angeles Angels of Anaheim"
2012,1853821992,"Los Angeles Angels of Anaheim"
2013,1490097000,"Los Angeles Angels of Anaheim"
2014,1463859000,"Los Angeles Angels of Anaheim"
2015,1440064980,"Los Angeles Angels of Anaheim"
2016,1647015996,"Los Angeles Angels of Anaheim"
1985,647107103,"Los Angeles Dodgers"
1986,879912784,"Los Angeles Dodgers"
1987,806848777,"Los Angeles Dodgers"
1988,994180385,"Los Angeles Dodgers"
1989,1243222158,"Los Angeles Dodgers"
1990,1257803536,"Los Angeles Dodgers"
1991,1934649176,"Los Angeles Dodgers"
1992,2642501794,"Los Angeles Dodgers"
1993,2320587941,"Los Angeles Dodgers"
1994,2242000059,"Los Angeles Dodgers"
1995,2317118859,"Los Angeles Dodgers"
1996,2085945000,"Los Angeles Dodgers"
1997,2677437936,"Los Angeles Dodgers"
1998,2880380000,"Los Angeles Dodgers"
1999,4770884727,"Los Angeles Dodgers"
2000,5187532874,"Los Angeles Dodgers"
2001,6437251227,"Los Angeles Dodgers"
2002,5596206227,"Los Angeles Dodgers"
2003,6228784580,"Los Angeles Dodgers"
2004,5481218059,"Los Angeles Dodgers"
2005,4899301000,"Los Angeles Dodgers"
2006,5808384033,"Los Angeles Dodgers"
2007,6398816916,"Los Angeles Dodgers"
2008,6996723624,"Los Angeles Dodgers"
2009,5924460928,"Los Angeles Dodgers"
2010,5626122944,"Los Angeles Dodgers"
2011,6147150941,"Los Angeles Dodgers"
2012,5613470925,"Los Angeles Dodgers"
2013,13178369564,"Los Angeles Dodgers"
2014,12803861400,"Los Angeles Dodgers"
